x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index
1143.0358,951.2036,1244.0376,1079.7594,0,0.76279825,,person,0
664.841,648.37683,745.16296,852.3946,0,0.7236226,,person,0
258.29562,436.61774,327.5571,606.9221,0,0.71493083,,person,0
32.87359,796.8538,137.73648,987.5102,0,0.71222144,,person,0
1433.3093,705.2605,1523.5935,885.88715,0,0.7052827,,person,0
750.0549,453.4758,822.553,616.77875,0,0.6645416,,person,0
1139.5016,505.70215,1212.0399,655.10944,0,0.6155645,,person,0
1447.2622,321.42297,1514.7089,484.15137,0,0.5545932,,person,0
1461.6835,470.21805,1541.4335,641.55725,0,0.5493905,,person,0
93.53291,132.04266,144.58621,251.58028,0,0.4645675,,person,0
713.32983,241.66727,767.083,388.25912,0,0.42953318,,person,0
926.8231,175.9235,982.6787,306.88907,0,0.4094818,,person,0
1203.6028,129.13887,1255.2396,265.0948,0,0.384939,,person,0
568.6135,281.97934,629.7429,406.36957,0,0.36643335,,person,0
1162.8666,151.54187,1210.3806,279.27762,0,0.2803663,,person,0
853.03546,73.43971,895.2753,196.34276,0,0.26519117,,person,0
1136.9565,884.0422,1234.6803,1071.5502,0,0.82281613,,person,1
48.237675,810.6427,154.98894,987.1344,0,0.7539174,,person,1
674.60455,598.7467,751.269,794.44324,0,0.72074795,,person,1
1390.3685,709.398,1493.21,884.44574,0,0.6954726,,person,1
757.41644,415.50284,815.8231,576.44574,0,0.65633494,,person,1
245.9832,469.76505,326.8452,645.098,0,0.6202032,,person,1
1472.8009,500.70868,1554.8889,678.5431,0,0.6081744,,person,1
1848.59,644.29376,1919.4056,836.8385,0,0.5939279,,person,1
1460.8824,346.56335,1533.4856,506.91687,0,0.54362655,,person,1
1144.6805,475.21454,1214.3981,619.5907,0,0.5227398,,person,1
342.07306,486.27905,398.84372,638.47394,0,0.44210276,,person,1
93.27315,129.59447,143.04561,248.49464,0,0.43998188,,person,1
712.587,216.56749,766.6721,362.0075,0,0.4146471,,person,1
573.84174,296.07202,630.011,424.51263,0,0.36840463,,person,1
925.708,189.39273,982.63385,322.70532,0,0.31587845,,person,1
1207.2345,108.57766,1252.8243,235.79448,0,0.30749214,,person,1
1093.4745,52.356194,1135.2773,159.28992,0,0.2744546,,person,1
1171.2941,131.57613,1223.3594,258.13016,0,0.25722972,,person,1
1115.7394,827.06366,1207.0858,1026.6482,0,0.77139676,,person,2
63.484386,824.30133,185.65161,997.64435,0,0.71675277,,person,2
673.546,548.62946,744.5356,733.25085,0,0.6665495,,person,2
1338.3103,708.94165,1437.1265,879.4488,0,0.6613969,,person,2
1144.7224,440.72025,1210.6036,575.7641,0,0.6522348,,person,2
924.7022,203.88185,983.8654,345.59238,0,0.6448237,,person,2
236.90982,492.67383,310.11703,675.0169,0,0.6299987,,person,2
753.94214,381.41785,814.6544,529.02814,0,0.62111115,,person,2
1493.3906,528.72437,1575.1774,697.56903,0,0.6038219,,person,2
1478.8254,379.86734,1556.3146,548.07513,0,0.5407798,,person,2
1820.7762,607.819,1906.5011,787.8199,0,0.4969969,,person,2
337.22748,484.2583,394.6413,635.8594,0,0.4691579,,person,2
706.64496,189.78012,756.51794,330.44424,0,0.3780654,,person,2
88.26963,125.07601,138.16298,245.93102,0,0.3523923,,person,2
849.27356,62.315414,887.8396,185.7545,0,0.3005076,,person,2
796.97205,57.622353,835.92334,188.7198,0,0.2673626,,person,2
1106.2463,773.961,1197.7958,986.5146,0,0.8146701,,person,3
677.94763,503.18445,745.8599,675.38934,0,0.73514134,,person,3
1302.9471,706.05066,1381.9062,865.5866,0,0.7292059,,person,3
755.5717,351.5125,816.18604,498.55792,0,0.7182993,,person,3
226.57535,529.76166,305.54657,703.52856,0,0.666962,,person,3
1776.3717,574.6921,1875.1029,762.20416,0,0.6647115,,person,3
1142.9747,412.07483,1210.841,547.41815,0,0.63289446,,person,3
923.29285,221.57048,981.77527,364.17978,0,0.57092744,,person,3
1510.6635,568.64124,1590.6366,740.21124,0,0.52342206,,person,3
85.3331,831.7837,187.78304,1009.9378,0,0.51553595,,person,3
336.57916,480.5022,391.01028,631.9235,0,0.46053904,,person,3
1096.1455,78.82642,1139.346,189.07494,0,0.43499488,,person,3
703.96124,167.5859,755.98987,304.87164,0,0.41667444,,person,3
1498.0814,414.7889,1570.0438,576.77405,0,0.3953823,,person,3
86.78167,122.4815,135.84242,244.35228,0,0.39457846,,person,3
1716.1154,204.02344,1784.139,349.4221,0,0.35298416,,person,3
982.32367,141.33167,1047.9072,282.27005,0,0.34699854,,person,3
845.2579,55.991135,886.22296,186.37401,0,0.28375295,,person,3
1888.0753,121.68155,1919.397,229.86186,0,0.27892128,,person,3
572.3436,239.59511,625.1465,340.8772,0,0.26852047,,person,3
1165.4606,100.584366,1206.5344,217.37631,0,0.26146567,,person,3
1197.2755,78.307526,1241.1996,197.2356,0,0.2547749,,person,3
680.2651,467.90836,744.1663,648.2778,0,0.76162326,,person,4
1091.9857,727.97034,1181.0848,926.4827,0,0.748967,,person,4
1261.8984,727.79364,1333.9679,896.81396,0,0.7090371,,person,4
1768.6971,536.3724,1846.447,722.3936,0,0.7014189,,person,4
1529.3877,612.3184,1616.1826,799.13,0,0.6257864,,person,4
216.27022,573.2621,306.02374,759.5369,0,0.6154829,,person,4
1519.556,455.05585,1598.0907,618.5106,0,0.61493796,,person,4
754.3989,328.79446,809.78375,474.32733,0,0.56252766,,person,4
921.2965,240.89575,980.8959,387.7858,0,0.54156613,,person,4
706.11786,143.29665,752.8226,277.63788,0,0.41722777,,person,4
845.8916,55.848083,888.77527,185.46324,0,0.37657973,,person,4
1157.9489,390.38745,1219.4163,525.89575,0,0.37023702,,person,4
794.98944,53.71795,833.25885,179.39117,0,0.35521504,,person,4
86.94357,124.50658,136.2168,244.55109,0,0.34962416,,person,4
1094.7587,94.78839,1143.4933,210.3626,0,0.3266898,,person,4
337.6745,482.9286,392.8579,632.09985,0,0.31304556,,person,4
575.6497,258.54037,632.7799,367.00946,0,0.30363974,,person,4
320.08218,0.0,369.62277,95.835754,0,0.29066738,,person,4
1072.2101,676.81805,1160.0024,860.0964,0,0.76590115,,person,5
204.30634,614.5639,289.33337,809.487,0,0.74329203,,person,5
1548.9977,660.2053,1640.6028,854.9325,0,0.7363858,,person,5
1194.4666,739.55164,1293.4526,903.68555,0,0.7230581,,person,5
118.52076,872.9231,239.55717,1047.1696,0,0.6993747,,person,5
679.15955,431.72104,745.64716,607.8567,0,0.63259965,,person,5
751.62994,300.31448,808.55786,456.71347,0,0.6239069,,person,5
923.12976,260.04623,984.7356,402.1966,0,0.6088735,,person,5
1736.6759,503.29202,1827.8573,676.2918,0,0.5911314,,person,5
1157.3296,371.2783,1221.6534,509.624,0,0.48402554,,person,5
1536.7659,499.4135,1613.3226,660.53357,0,0.459527,,person,5
706.7623,125.12421,751.2341,254.50351,0,0.44388956,,person,5
1058.2177,959.80975,1127.0757,1079.9126,0,0.44293642,,person,5
88.36313,123.934555,136.99937,242.9273,0,0.44137383,,person,5
337.321,481.4543,396.0307,629.74664,0,0.3920362,,person,5
576.1839,371.37277,649.0985,512.62354,0,0.3848351,,person,5
856.18945,59.24991,898.8838,183.10565,0,0.3712164,,person,5
1103.5488,113.25357,1145.6155,225.57623,0,0.3504825,,person,5
13.53051,78.18079,79.738556,174.58078,0,0.32701647,,person,5
797.3247,53.45871,834.7965,178.38338,0,0.32069382,,person,5
989.8982,177.14845,1052.6052,324.36478,0,0.2673823,,person,5
1070.0826,636.4488,1155.0674,810.90015,0,0.7196876,,person,6
180.81937,655.3836,271.9823,846.33386,0,0.7154525,,person,6
1573.0533,703.74915,1666.1064,906.1265,0,0.7054588,,person,6
1170.2535,743.0733,1250.1929,911.92914,0,0.6395767,,person,6
686.11536,396.83148,752.4996,575.1165,0,0.5966385,,person,6
1722.7893,469.56564,1797.088,634.091,0,0.5886105,,person,6
1556.7178,541.839,1640.9653,709.5899,0,0.58183193,,person,6
916.6615,279.6214,978.9928,427.5989,0,0.57639885,,person,6
141.54254,889.1349,252.12071,1070.2117,0,0.5615103,,person,6
1036.6147,898.5566,1104.9479,1077.7853,0,0.5531455,,person,6
751.9356,273.46695,807.94354,419.57394,0,0.49495697,,person,6
580.09955,385.82556,650.5177,532.5656,0,0.44041494,,person,6
1098.1873,130.46591,1151.2457,243.59245,0,0.3696117,,person,6
1746.6985,170.54842,1814.3622,314.14658,0,0.3110327,,person,6
337.55054,478.7426,397.19147,626.1077,0,0.2734162,,person,6
165.12369,696.4692,255.35861,880.31384,0,0.7716091,,person,7
1060.7576,595.5383,1140.6216,784.8562,0,0.7338783,,person,7
1140.4058,773.5748,1213.8296,957.89355,0,0.6329381,,person,7
914.33606,302.675,984.3699,450.99088,0,0.58234113,,person,7
1025.4756,843.7358,1084.3495,1042.4557,0,0.5446568,,person,7
743.30884,247.22136,797.7415,384.15814,0,0.516358,,person,7
689.59955,359.76108,752.2033,522.1657,0,0.5010796,,person,7
1177.8418,1008.84686,1268.1154,1080.0,0,0.49159226,,person,7
1702.6637,432.17508,1775.8612,612.9779,0,0.45730177,,person,7
1582.7937,588.98627,1666.9211,766.36255,0,0.4308503,,person,7
1172.1509,315.34128,1231.265,440.7162,0,0.4048627,,person,7
574.39276,412.15576,645.14856,548.47284,0,0.38818398,,person,7
156.9622,904.6306,265.29327,1078.3867,0,0.37491432,,person,7
1583.1658,593.34326,1633.533,765.0291,0,0.369733,,person,7
1105.6377,143.34059,1152.6241,258.56927,0,0.3477094,,person,7
340.12408,477.18906,395.70108,618.0259,0,0.31851524,,person,7
1599.8708,746.90735,1704.7273,943.3938,0,0.29422027,,person,7
992.2123,212.78362,1057.8813,364.40088,0,0.2885002,,person,7
1168.2452,925.4705,1268.9606,1080.0,0,0.78007025,,person,8
1078.1744,808.1019,1175.8499,998.5803,0,0.76912034,,person,8
143.01321,752.8537,240.21405,941.00464,0,0.7565046,,person,8
1056.134,556.1909,1139.4152,741.1613,0,0.68807006,,person,8
1007.2509,791.05096,1074.2155,975.66943,0,0.64821553,,person,8
663.89526,992.59973,757.15216,1080.0,0,0.6481771,,person,8
1605.9203,640.59375,1703.0079,826.5674,0,0.6024193,,person,8
916.0816,322.33258,982.13727,477.1772,0,0.5867457,,person,8
741.1357,223.78093,794.4708,359.80362,0,0.5560741,,person,8
1659.973,403.56693,1748.5353,580.9344,0,0.5512964,,person,8
694.01135,325.1854,757.9296,482.66547,0,0.52655715,,person,8
568.3425,432.6724,654.86865,583.24457,0,0.46104252,,person,8
1621.5458,803.46497,1720.4791,984.34204,0,0.43907642,,person,8
1105.2784,157.11957,1157.7688,277.90866,0,0.42933494,,person,8
1789.8909,312.41177,1871.0355,477.66284,0,0.38650468,,person,8
1881.2823,315.12418,1919.4265,438.23862,0,0.35746548,,person,8
338.50003,474.50693,396.1152,619.7013,0,0.3419467,,person,8
577.1971,329.0224,632.75256,444.26276,0,0.28621402,,person,8
1880.9575,179.56004,1919.4833,293.73624,0,0.2841239,,person,8
1751.2197,211.8089,1828.9542,372.67822,0,0.2817978,,person,8
968.3967,0.0,1005.4075,91.77786,0,0.26259914,,person,8
863.06085,52.278397,905.4051,175.32825,0,0.25916484,,person,8
1052.831,845.125,1151.9204,1064.5897,0,0.77019143,,person,9
1186.0184,860.5271,1277.77,1061.0239,0,0.7629007,,person,9
661.4034,928.5484,766.10583,1077.4991,0,0.74078566,,person,9
117.78596,806.94055,227.1107,1003.24536,0,0.69628364,,person,9
1003.3962,742.85815,1065.7303,909.04724,0,0.6901554,,person,9
1056.5259,518.9982,1133.2452,691.45575,0,0.6436494,,person,9
910.3832,346.074,979.55145,507.08395,0,0.6362058,,person,9
565.6071,459.77838,634.2354,620.77496,0,0.56466216,,person,9
1654.8209,378.06903,1727.6519,545.13794,0,0.54993767,,person,9
693.9269,298.8958,749.92053,455.51205,0,0.4969006,,person,9
1645.5063,860.6195,1760.4146,1062.364,0,0.47370073,,person,9
1638.8038,696.2305,1735.83,892.13214,0,0.473467,,person,9
1108.2443,178.38208,1159.1862,297.914,0,0.46578866,,person,9
731.4767,207.19707,779.59705,345.33813,0,0.43539593,,person,9
0.41958046,533.6404,95.42583,734.4364,0,0.3669165,,person,9
1176.8119,277.10486,1230.8687,402.06592,0,0.36060986,,person,9
337.38043,473.9858,394.4924,619.8311,0,0.31222486,,person,9
1762.7549,236.13634,1830.4629,391.96457,0,0.3004553,,person,9
861.27026,51.59484,902.4276,177.46954,0,0.2531437,,person,9
